significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
77.6232,77.6232,276.5912,240.5708,149.0571,36.0205,127.5341,80.8569,95.9975,180.5937,1.2963,0.8733,0,25,1165173988.2812,129.9192,1165173978.5000,128.2500,19.0000,3.5000,437,73,67,1,10
1288.7912,1288.7912,3271.6799,3109.9197,1700.1789,161.7601,1571.5010,1353.4285,1340.6389,1931.0410,1.2963,0.8733,0,121,1165173948.4098,145.4051,1165173944.3750,109.0000,9.5000,112.0000,458,64,68,1,10
164.2521,164.2521,535.6826,478.9092,289.4116,56.7734,246.2709,201.5195,212.5890,323.0935,1.2521,0.9670,0,38,1165173950.1114,114.2752,1165173948.0625,82.0000,3.6250,76.0000,462,69,69,1,10
52.4581,52.4581,180.1436,160.8771,93.6073,19.2665,86.5364,54.3885,84.8008,95.3428,1.3426,0.7983,0,16,1165173908.7109,153.4211,1165173903.5000,150.7500,12.0000,5.0000,464,52,70,1,10
26.4954,26.4954,94.9122,84.5475,47.2923,10.3647,47.6199,34.7403,35.0826,59.8295,1.4403,0.6048,0,9,1165173983.5134,133.9864,1165173980.5000,133.2500,7.0000,1.5000,466,73,71,1,10
85.1125,85.1125,261.2015,232.3102,142.8917,28.8912,118.3098,82.4132,78.5954,182.6061,1.2521,0.9833,0,15,1165173860.7403,218.0852,1165173858.7500,211.5000,4.5000,12.0000,468,49,72,1,10
107.7888,107.7888,346.8427,306.8918,202.0224,39.9508,144.8203,110.3710,117.9725,228.8702,1.3426,0.7820,0,26,1165173944.3704,50.9720,1165173940.2500,45.5000,8.0000,12.0000,469,63,73,1,10
2982.0412,2982.0412,7128.8720,6759.9281,3687.9463,368.9439,3440.9257,2780.3422,2961.9025,4166.9696,1.2963,0.8733,0,169,1165173960.1083,149.9145,1165173955.8750,107.0000,9.7500,138.0000,476,65,74,1,10
111.3963,111.3963,388.0423,326.6881,204.4057,61.3542,183.6366,113.6050,139.3490,248.6933,1.2521,0.9670,0,26,1165173931.5805,221.7539,1165173929.6250,203.0000,4.2500,40.0000,483,60,75,1,10
391.8080,391.8080,1180.2368,1058.4797,669.6110,121.7571,510.6258,448.0021,373.4201,806.8167,1.2107,1.0634,0,69,1165173967.2962,111.8636,1165173965.4375,54.0000,2.6250,156.0000,490,70,76,1,10
981.2039,981.2039,2543.4262,2408.5276,1423.9710,134.8987,1119.4553,977.9847,904.4110,1639.0152,1.2521,0.9670,0,107,1165173967.3236,105.6496,1165173964.3125,42.0000,4.0000,172.0000,491,68,77,1,10
671.6570,671.6570,1763.1307,1669.2672,1031.3698,93.8636,731.7610,667.6957,540.7855,1222.3453,1.2521,0.9670,0,79,1165173973.3572,97.2393,1165173970.9375,38.0000,3.1250,156.0000,498,68,78,1,10
20.8753,20.8753,65.2862,60.4530,38.7637,4.8332,26.5225,19.3434,23.0821,42.2041,1.2963,0.8733,0,5,1165173972.8153,34.1835,1165173971.7500,32.5000,2.0000,3.0000,505,69,79,1,10
