significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
23.7288, 23.7288, 192.5296, 94.0771, 88.8640, 98.4525, 103.6656, 24.5098, 169.8276, 22.7020, 1.4403, 0.6211, 0, 16, 1165173837.2682, 187.7663, 1165173832.5000, 186.2500, 13.0000, 4.0000, 402, 34, 80, 1, 10
25.9971, 25.9971, 114.8986, 86.5643, 61.0892, 28.3343, 53.8094, 30.9557, 49.8883, 65.0103, 1.3426, 0.7983, 0, 11, 1165173918.5237, 142.1860, 1165173915.5000, 141.2500, 5.0000, 3.0000, 405, 53, 81, 1, 10
103.8360, 103.8360, 375.0199, 320.0355, 186.5838, 54.9843, 188.4361, 127.5683, 185.9093, 189.1106, 1.3426, 0.7820, 0, 33, 1165173951.2842, 134.9280, 1165173932.5000, 131.7500, 34.0000, 7.0000, 407, 58, 82, 1, 10
24.2018, 24.2018, 193.5784, 95.1878, 89.9952, 98.3907, 103.5833, 24.9854, 170.8374, 22.7411, 1.4403, 0.6211, 0, 16, 1165173837.2707, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 415, 31, 83, 1, 10
17.5419, 17.5419, 70.0797, 57.0620, 33.8419, 13.0178, 36.2378, 19.1095, 39.6474, 30.4323, 1.2521, 0.9670, 0, 7, 1165173986.3074, 129.5542, 1165173983.5000, 128.7500, 5.0000, 1.5000, 418, 74, 84, 1, 10
3009.9390, 3009.9390, 7095.1966, 6847.2067, 3557.2034, 247.9899, 3537.9932, 2780.6700, 3292.4822, 3802.7144, 1.4403, 0.6048, 0, 173, 1165173933.8177, 149.9196, 1165173929.3750, 107.0000, 10.0000, 146.0000, 420, 59, 85, 1, 10
4592.4807, 4592.4807, 11014.9218, 10164.4957, 5639.8648, 850.4261, 5375.0571, 4082.4769, 4808.9689, 6205.9529, 1.2963, 0.8733, 0, 198, 1165173933.9927, 149.4048, 1165173929.6250, 107.0000, 9.7500, 140.0000, 421, 59, 86, 1, 10
24.1822, 24.1822, 193.6042, 95.1449, 89.9402, 98.4593, 103.6639, 25.0027, 170.8365, 22.7676, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 430, 31, 87, 1, 10
37.9868, 37.9868, 161.1708, 124.2434, 81.4449, 36.9274, 79.7259, 49.5298, 71.0251, 90.1458, 1.3426, 0.7983, 0, 15, 1165173915.3134, 145.7915, 1165173907.5000, 141.2500, 14.0000, 7.5000, 431, 52, 88, 1, 10
40.9803, 40.9803, 149.5662, 128.1580, 79.0984, 21.4082, 70.4679, 38.0140, 51.9918, 97.5744, 1.3426, 0.7820, 0, 14, 1165173985.4985, 131.3729, 1165173981.5000, 129.7500, 8.0000, 4.0000, 438, 73, 89, 1, 10
